summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,2,25045.841797,0.000000,300000.000000
1,2,2,21192.226562,25173.708984,300000.000000
1,1,4,78263.968750,0.000000,1200000.000000
1,2,4,70176.328125,37587.273438,1200000.000000
1,1,13,14086.141602,0.000000,300000.000000
1,2,13,8961.675781,5946.729492,300000.000000
1,1,15,14086.141602,0.000000,300000.000000
1,2,15,18083.400391,33043.644531,300000.000000
1,1,23,7043.070312,0.000000,150000.000000
1,2,23,4026.737793,2375.948730,150000.000000
1,1,63,7043.070312,0.000000,150000.000000
1,2,63,7839.131348,13298.650391,150000.000000
1,1,68,14086.141602,0.000000,300000.000000
1,2,68,9320.302734,6182.009277,300000.000000
1,1,73,44611.835938,0.000000,600000.000000
1,2,73,37544.074219,35838.847656,600000.000000
1,1,84,44611.835938,0.000000,600000.000000
1,2,84,47221.535156,48686.148438,600000.000000
1,1,105,28172.281250,0.000000,600000.000000
1,2,105,44242.421875,60466.468750,600000.000000
1,1,137,14086.141602,0.000000,300000.000000
1,2,137,7967.658691,4536.118164,300000.000000
1,1,153,33652.132812,0.000000,600000.000000
1,2,153,29605.537109,22779.148438,600000.000000
1,1,162,7043.070312,0.000000,150000.000000
1,2,162,6989.853027,10972.512695,150000.000000
1,1,167,14086.141602,0.000000,300000.000000
1,2,167,19049.511719,37346.351562,300000.000000
1,1,170,7043.070312,0.000000,150000.000000
1,2,170,5485.073242,6031.082520,150000.000000
1,1,187,7043.070312,0.000000,150000.000000
1,2,187,13987.918945,32310.035156,150000.000000
1,1,190,14086.141602,0.000000,300000.000000
1,2,190,20588.167969,31775.390625,300000.000000
1,1,214,14086.141602,0.000000,300000.000000
1,2,214,10071.564453,6777.271484,300000.000000
1,1,233,44611.835938,0.000000,600000.000000
1,2,233,42862.179688,43854.824219,600000.000000
1,1,281,44611.835938,0.000000,600000.000000
1,2,281,41235.179688,44986.757812,600000.000000
1,1,314,28172.281250,0.000000,600000.000000
1,2,314,34733.511719,44578.589844,600000.000000
1,1,317,28172.281250,0.000000,600000.000000
1,2,317,21349.318359,14205.988281,600000.000000
1,1,322,14086.141602,0.000000,300000.000000
1,2,322,7892.562500,3218.074463,300000.000000
1,1,323,14086.141602,0.000000,300000.000000
1,2,323,9637.686523,5468.699707,300000.000000
1,1,357,21129.210938,0.000000,450000.000000
1,2,357,24449.238281,36977.996094,450000.000000
1,1,358,28172.281250,0.000000,600000.000000
1,2,358,20751.810547,8659.296875,600000.000000
1,1,359,44611.835938,0.000000,600000.000000
1,2,359,45797.007812,49934.699219,600000.000000
1,1,376,39131.984375,0.000000,600000.000000
1,2,376,26988.906250,22388.697266,600000.000000
1,1,412,44611.835938,0.000000,600000.000000
1,2,412,44022.636719,42866.296875,600000.000000
1,1,417,14086.141602,0.000000,300000.000000
1,2,417,14338.060547,22344.421875,300000.000000
1,1,420,44611.835938,0.000000,600000.000000
1,2,420,41579.617188,34238.781250,600000.000000
1,1,441,7043.070312,0.000000,150000.000000
1,2,441,16180.576172,39711.566406,150000.000000
1,1,447,7043.070312,0.000000,150000.000000
1,2,447,3925.425293,2310.948730,150000.000000
1,1,449,7043.070312,0.000000,150000.000000
1,2,449,15308.123047,36954.093750,150000.000000
1,1,489,7043.070312,0.000000,150000.000000
1,2,489,5644.948242,6172.680664,150000.000000
1,1,491,7043.070312,0.000000,150000.000000
1,2,491,10400.953125,21234.546875,150000.000000
1,1,506,44611.835938,0.000000,600000.000000
1,2,506,33432.105469,27101.484375,600000.000000
1,1,521,44611.835938,0.000000,600000.000000
1,2,521,45592.593750,58054.542969,600000.000000
1,1,529,39131.984375,0.000000,600000.000000
1,2,529,43548.640625,71506.546875,600000.000000
1,1,533,44611.835938,0.000000,600000.000000
1,2,533,33872.367188,33187.695312,600000.000000
1,1,561,14086.141602,0.000000,300000.000000
1,2,561,14615.583984,23048.732422,300000.000000
1,1,566,53218.125000,0.000000,900000.000000
1,2,566,55132.457031,38450.875000,900000.000000
1,1,568,7043.070312,0.000000,150000.000000
1,2,568,14954.520508,36043.156250,150000.000000
1,1,574,14086.141602,0.000000,300000.000000
1,2,574,14933.578125,22391.802734,300000.000000
1,1,576,64177.828125,0.000000,900000.000000
1,2,576,75292.546875,51798.542969,900000.000000
1,1,608,21129.210938,0.000000,450000.000000
1,2,608,23278.871094,27867.359375,450000.000000
1,1,622,7043.070312,0.000000,150000.000000
1,2,622,4009.999268,2379.352539,150000.000000
1,1,628,44611.835938,0.000000,600000.000000
1,2,628,52878.867188,48806.031250,600000.000000
1,1,639,7043.070312,0.000000,150000.000000
1,2,639,3888.266846,2405.508057,150000.000000
1,1,640,21129.210938,0.000000,450000.000000
1,2,640,18517.476562,17923.867188,450000.000000
1,1,642,14086.141602,0.000000,300000.000000
1,2,642,9811.742188,6405.493164,300000.000000
1,1,656,7043.070312,0.000000,150000.000000
1,2,656,4146.294434,2343.006592,150000.000000
1,1,657,21129.210938,0.000000,450000.000000
1,2,657,19592.601562,23317.875000,450000.000000
1,1,677,44611.835938,0.000000,600000.000000
1,2,677,41526.601562,47501.085938,600000.000000
1,1,681,25045.841797,0.000000,300000.000000
1,2,681,26157.054688,35707.921875,300000.000000
1,1,686,14086.141602,0.000000,300000.000000
1,2,686,31697.667969,52974.667969,300000.000000
1,1,694,14086.141602,0.000000,300000.000000
1,2,694,12227.541016,14998.097656,300000.000000
1,1,711,14086.141602,0.000000,300000.000000
1,2,711,13839.296875,20840.662109,300000.000000
1,1,725,14086.141602,0.000000,300000.000000
1,2,725,12564.429688,11599.268555,300000.000000
1,1,740,7043.070312,0.000000,150000.000000
1,2,740,5198.532227,5798.022949,150000.000000
1,1,741,33652.132812,0.000000,600000.000000
1,2,741,39210.023438,69322.296875,600000.000000
1,1,752,14086.141602,0.000000,300000.000000
1,2,752,7999.752930,2257.304688,300000.000000
1,1,757,14086.141602,0.000000,300000.000000
1,2,757,15130.408203,17952.798828,300000.000000
1,1,758,28172.281250,0.000000,600000.000000
1,2,758,26742.441406,32626.587891,600000.000000
1,1,766,14086.141602,0.000000,300000.000000
1,2,766,24159.101562,53729.484375,300000.000000
1,1,789,44611.835938,0.000000,600000.000000
1,2,789,54134.062500,60770.167969,600000.000000
1,1,801,7043.070312,0.000000,150000.000000
1,2,801,4805.198730,4578.694336,150000.000000
1,1,806,46175.054688,0.000000,750000.000000
1,2,806,36903.394531,22971.835938,750000.000000
1,1,811,7043.070312,0.000000,150000.000000
1,2,811,3905.601562,2422.041504,150000.000000
1,1,849,25045.841797,0.000000,300000.000000
1,2,849,27848.271484,34950.265625,300000.000000
1,1,854,21129.210938,0.000000,450000.000000
1,2,854,26951.371094,46650.187500,450000.000000
1,1,855,14086.141602,0.000000,300000.000000
1,2,855,10058.642578,9413.267578,300000.000000
1,1,864,7043.070312,0.000000,150000.000000
1,2,864,4007.593750,2425.401123,150000.000000
1,1,886,39131.984375,0.000000,600000.000000
1,2,886,46209.906250,74960.898438,600000.000000
1,1,919,7043.070312,0.000000,150000.000000
1,2,919,4094.432373,2393.976807,150000.000000
1,1,927,7043.070312,0.000000,150000.000000
1,2,927,4099.592773,2378.023926,150000.000000
1,1,929,42258.421875,0.000000,900000.000000
1,2,929,38708.921875,33603.574219,900000.000000
1,1,986,14086.141602,0.000000,300000.000000
1,2,986,8654.486328,5723.366699,300000.000000
1,1,1017,44611.835938,0.000000,600000.000000
1,2,1017,64837.625000,53849.609375,600000.000000
1,1,1025,7043.070312,0.000000,150000.000000
1,2,1025,11845.221680,25934.664062,150000.000000
1,1,1027,14086.141602,0.000000,300000.000000
1,2,1027,10486.396484,7752.667969,300000.000000
1,1,1031,14086.141602,0.000000,300000.000000
1,2,1031,9951.465820,8410.694336,300000.000000
1,1,1036,7043.070312,0.000000,150000.000000
1,2,1036,3968.387939,2347.667480,150000.000000
1,1,1044,44611.835938,0.000000,600000.000000
1,2,1044,40750.539062,40762.777344,600000.000000
1,1,1045,33652.132812,0.000000,600000.000000
1,2,1045,41173.171875,43400.113281,600000.000000
1,1,1074,14086.141602,0.000000,300000.000000
1,2,1074,17606.007812,31224.359375,300000.000000
1,1,1101,33652.132812,0.000000,600000.000000
1,2,1101,35366.937500,41470.851562,600000.000000
1,1,1106,7043.070312,0.000000,150000.000000
1,2,1106,5871.204102,7201.539551,150000.000000
1,1,1118,25045.841797,0.000000,300000.000000
1,2,1118,22307.167969,27072.056641,300000.000000
1,1,1140,33652.132812,0.000000,600000.000000
1,2,1140,46625.511719,56567.242188,600000.000000
1,1,1142,14086.141602,0.000000,300000.000000
1,2,1142,18407.757812,33941.460938,300000.000000
1,1,1145,28172.281250,0.000000,600000.000000
1,2,1145,29375.218750,37120.222656,600000.000000
1,1,1165,44611.835938,0.000000,600000.000000
1,2,1165,51998.355469,49764.898438,600000.000000
1,1,1167,14086.141602,0.000000,300000.000000
1,2,1167,13818.033203,18571.406250,300000.000000
1,1,1168,44611.835938,0.000000,600000.000000
1,2,1168,38574.289062,36791.652344,600000.000000
1,1,1177,14086.141602,0.000000,300000.000000
1,2,1177,15943.918945,22977.671875,300000.000000
1,1,1179,21129.210938,0.000000,450000.000000
1,2,1179,30843.916016,42216.984375,450000.000000
1,1,1180,14086.141602,0.000000,300000.000000
1,2,1180,7977.012695,3074.009766,300000.000000
1,1,1236,33652.132812,0.000000,600000.000000
1,2,1236,29490.183594,26367.892578,600000.000000
1,1,1238,33652.132812,0.000000,600000.000000
1,2,1238,36110.132812,38209.855469,600000.000000
1,1,1240,44611.835938,0.000000,600000.000000
1,2,1240,43959.117188,61219.964844,600000.000000
1,1,1249,7043.070312,0.000000,150000.000000
1,2,1249,4012.237061,2402.196045,150000.000000
1,1,1262,14086.141602,0.000000,300000.000000
1,2,1262,9617.254883,6797.099121,300000.000000
1,1,1276,14086.141602,0.000000,300000.000000
1,2,1276,19050.488281,25076.843750,300000.000000
